"","region_nombre","pedido_sap","orden_cliente","material_codigo","material_nombre","cantidad_pedido","stock_pedido_1154","stock_pedido_1155","stock_pedido_11x3","posicion","paletizado","fecha_carga","marca","tipo_contenedor","pais_codigo","var16","fecha_disponibilidad","stock_almacen","region_codigo","fecha_pedido","var21","fecha_captura","dia_9","cliente_a","cliente_b","zona_ventas_codigo","zona_ventas_nombre","pais_nombre","cliente_codigo","cliente_nombre","region_nombre_2","pais_nombre_2","unidad_medida","cajas_9l_40","cajas_9l","volumen","botellas_por_caja","graduacion_alcoholica","material_codigo_antiguo","en_calidad","aduana_origen_codigo","aduana_origen_nombre","aduana_destino_codigo","aduana_destino_nombre","nombre_contenedor","tipo_contenedor_2","fecha_entrega_cliente","fecha_entrega","lead_time_plan","fecha_planeacion_transporte","documento_transporte","sol_crt","cer_crt","fecha_estimada_partida","fecha_estimada_llegada","barco","booking","transportista_codigo","transportista_nombre_a","transportista_nombre_b","comentarios","retraso","numero_factura","fecha_factura","fecha_cruce","numero_orden_produccion","fecha_programacion","fecha_entrega_real","cantidad_entrada_mercancias","liberacion_calidad","unidad_medida_2","numero_lote","pais_codigo_2","cambio","nuevo","programado","motivo_retraso_1","observaciones_1","motivo_retraso_2","observaciones_2","motivo_retraso_3","obervaciones_3","motivo_retraso_4","observaciones_4","motivo_retraso_5","observaciones_5","fecha_impresion_factura","hora_impresion_factura","fecha_impresion_transporte","hora_impresion_transporte","grupo_clientes_codigo","grupo_clientes_nombre","fecha_documento_cruce","fecha_guia_fedex","fecha_original_preferente","fedex_awd","valor_neto","moneda_documento","en_control_calidad","entrga_cliente","stock_pred_xpt1","status_mov_mercancia","status_factura","status_global","datos_post_picking_almacen","datos_post_embalaje","datos_post_mov_mercancia","costos_internos","ex_fecha_carga","ex_fecha_disponibilidad","ex_fecha_pedido","ex_fecha_captura","ex_fecha_entrega_cliente","ex_fecha_entrega","ex_fecha_planeacion_transporte","ex_fecha_factura","ex_fecha_cruce","ex_fecha_programacion","ex_fecha_entrega_real","ex_liberacion_calidad","ex_fecha_impresion_factura","ex_fecha_impresion_transporte","ex_fecha_documento_cruce","ex_fecha_guia_fedex","ex_fecha_original_preferente","ex_fecha_estimada_partida","ex_fecha_estimada_llegada"
"1","APAC","4700854767","JC0319-0000(C)","XJP21416","TEQ.1800 AÑJO.40% 6/750ML JAPON 16",420,0,0,74,10,"TarimaMaderaEstufada",2019-09-04,NA,"Consolidado","JP",NA,2019-09-02,0,"X003",2019-08-13,NA,2019-08-13,"No","ASAHI BREWERIES LTD",NA,"20013","APAC","Japón","5986","ASAHI BREWERIES LTD","APAC","Japón","CJ",210,210,0.75,6,40,NA,0,"160","MANZANILLO","AJP003","YOKOHAMA, JP",NA,NA,2019-07-17,2019-09-14,32,2019-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202386,2019-09-09,NA,0,NA,"CJ",NA,"HK","Si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-01,NA,51000.6,"USD",0,0,0,NA,NA,NA,NA,NA,NA,12224.48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2","APAC","4700854767","JC0319-0000(C)","XJP16216","TEQ.J.CVO.ESP.REP.40% 12/375ML JAPON 16",88,0,0,88,20,"TarimaMaderaEstufada",2019-09-04,NA,"Consolidado","JP",NA,2019-09-02,0,"X003",2019-08-13,NA,2019-08-13,"No","ASAHI BREWERIES LTD",NA,"20013","APAC","Japón","5986","ASAHI BREWERIES LTD","APAC","Japón","CJ",44,44,0.375,12,40,NA,0,"160","MANZANILLO","AJP003","YOKOHAMA, JP",NA,NA,2019-07-17,2019-09-14,32,2019-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"HK","Si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-01,NA,4100.8,"USD",0,0,0,NA,NA,NA,NA,NA,NA,1608.82,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"3","PUK","4700834661","4300001514/1518/1525","XGN20616","TEQ.1800 AÑJO.38% 6/700ML GEN. 16",420,0,0,420,10,"TarimaMaderaEstufada",2019-08-30,NA,"1X20'   4 WAY  PALLETS","GB",NA,2019-08-28,0,"X005",2019-04-10,NA,2019-04-10,"No","PROXIMO SPIRITS UK LTD",NA,"20016","PUK","Reino Unido","9466","PROXIMO SPIRITS UK LTD / OR LONDON CITY BOND LTD GLOBAL WHSE","PUK","Reino Unido","CJ",186,196,0.7,6,38,NA,0,"810","ALTAMIRA","AGB004","GATEWAY, UK",NA,NA,2019-08-15,2019-09-10,153,2019-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1201473,2019-08-19,2019-08-19,420,NA,"CJ",NA,"EU","No",NA,"Pedido Programado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-30,NA,27930,"USD",0,0,0,NA,NA,NA,NA,NA,NA,11418.71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"4","PUK","4700834661","4300001514/1518/1525","XGN24616","TEQ.1800 BCO.38% 6/700ML GEN.16",588,0,0,588,20,"TarimaMaderaEstufada",2019-08-30,NA,"1X20'   4 WAY  PALLETS","GB",NA,2019-08-28,0,"X005",2019-04-10,NA,2019-04-10,"No","PROXIMO SPIRITS UK LTD",NA,"20016","PUK","Reino Unido","9466","PROXIMO SPIRITS UK LTD / OR LONDON CITY BOND LTD GLOBAL WHSE","PUK","Reino Unido","CJ",261,274,0.7,6,38,NA,0,"810","ALTAMIRA","AGB004","GATEWAY, UK",NA,NA,2019-08-15,2019-09-10,153,2019-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1201467,2019-08-13,2019-08-17,588,NA,"CJ",NA,"EU","No",NA,"Pedido Programado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-30,NA,30576,"USD",0,0,0,NA,NA,NA,NA,NA,NA,14271.76,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"5","PUK","4700834661","4300001514/1518/1525","XGB10616","TEQ.J.CVO.ESP.REP.38% 6/700 INGLATERRA",891,0,0,891,30,"TarimaMaderaEstufada",2019-08-30,NA,"1X20'   4 WAY  PALLETS","GB",NA,2019-08-28,0,"X005",2019-04-10,NA,2019-04-10,"No","PROXIMO SPIRITS UK LTD",NA,"20016","PUK","Reino Unido","9466","PROXIMO SPIRITS UK LTD / OR LONDON CITY BOND LTD GLOBAL WHSE","PUK","Reino Unido","CJ",395,416,0.7,6,38,NA,0,"810","ALTAMIRA","AGB004","GATEWAY, UK",NA,NA,2019-08-15,2019-09-10,153,2019-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199942,2019-07-19,2019-07-25,891,NA,"CJ",NA,"EU","Si",NA,"Pedido Programado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-30,NA,24751.98,"USD",0,0,0,NA,NA,NA,NA,NA,NA,11583,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"6","USA","4700847134","5100406845","XUS474","TEQ.CENT.AÑJO.40% 6/750ML USA",1872,0,0,0,10,NA,2019-06-24,NA,NA,"US","Proximo",2019-06-24,0,"X002",2019-06-20,NA,2019-06-23,"No","PROXIMO SPIRITS INC",NA,"20006","USA","U.S.A.","7021","PROXIMO SPIRITS INC","USA","U.S.A.","CJ",936,936,0.75,6,40,"WXUS474",0,"240","NUEVO LAREDO","AUS099","USA",NA,NA,2019-07-31,2019-06-27,7,2019-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12087031,2019-06-24,NA,0,NA,NA,NA,"PT","No","NUEVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-31,NA,123608.16,"USD",0,0,0,NA,NA,NA,NA,NA,NA,48731.34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"7","USA","4700847135","5100406846","XUS474","TEQ.CENT.AÑJO.40% 6/750ML USA",1872,0,0,0,10,NA,2019-06-24,NA,NA,"US","Proximo",2019-06-24,0,"X002",2019-06-20,NA,2019-06-23,"No","PROXIMO SPIRITS INC",NA,"20006","USA","U.S.A.","7021","PROXIMO SPIRITS INC","USA","U.S.A.","CJ",936,936,0.75,6,40,"WXUS474",0,"240","NUEVO LAREDO","AUS099","USA",NA,NA,2019-07-31,2019-06-27,7,2019-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12087033,2019-06-24,NA,0,NA,NA,NA,"PT","No","NUEVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-31,NA,123608.16,"USD",0,0,0,NA,NA,NA,NA,NA,NA,48731.34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"8","USA","4700847136","5100406847","XUS474","TEQ.CENT.AÑJO.40% 6/750ML USA",1872,0,0,0,10,NA,2019-06-24,NA,NA,"US","Proximo",2019-06-24,0,"X002",2019-06-20,NA,2019-06-23,"No","PROXIMO SPIRITS INC",NA,"20006","USA","U.S.A.","7021","PROXIMO SPIRITS INC","USA","U.S.A.","CJ",936,936,0.75,6,40,"WXUS474",0,"240","NUEVO LAREDO","AUS099","USA",NA,NA,2019-07-31,2019-06-27,7,2019-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12087035,2019-06-24,NA,0,NA,NA,NA,"PT","No","NUEVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-31,NA,123608.16,"USD",0,0,0,NA,NA,NA,NA,NA,NA,48731.34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9","USA","4700851225","5100416008","XUS19119","LICOR 1800 COCONUT 35% 12/375ML 19",975,0,0,0,10,NA,2019-08-01,NA,NA,"US","Proximo",2019-08-01,595,"X002",2019-07-16,NA,2019-07-21,"No","PROXIMO SPIRITS INC",NA,"20006","USA","U.S.A.","7021","PROXIMO SPIRITS INC","USA","U.S.A.","CJ",427,488,0.375,12,35,NA,0,"240","NUEVO LAREDO","AUS099","USA",NA,NA,2019-08-31,2019-08-05,20,2019-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12092289,2019-08-01,NA,0,NA,NA,NA,"PT","Si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-31,NA,74519.25,"USD",0,0,0,NA,NA,NA,NA,NA,NA,30237.48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"10","USA","4700851225","5100416008","XUS19216","LICOR 1800 COCONUT 35% 24/200ML 16",360,0,0,0,20,NA,2019-07-22,NA,NA,"US","Proximo",2019-07-22,0,"X002",2019-07-16,NA,2019-07-21,"No","PROXIMO SPIRITS INC",NA,"20006","USA","U.S.A.","7021","PROXIMO SPIRITS INC","USA","U.S.A.","CJ",168,192,0.2,24,35,NA,0,"240","NUEVO LAREDO","AUS099","USA",NA,NA,2019-08-31,2019-07-25,9,2019-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12090437,2019-07-22,NA,0,NA,NA,NA,"PT","No","NUEVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-31,NA,29610,"USD",0,0,0,NA,NA,NA,NA,NA,NA,15226.88,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
